horizon,threshold_type,threshold_value,target_usage,baseline_family,baseline_name,row_count,scored_row_count,positive_event_count,event_base_rate,score_available_rate,roc_auc,average_precision,brier_like_score_if_score_in_0_1,spearman_score_vs_event,spearman_score_vs_future_mae,spearman_score_vs_future_mdd,spearman_score_vs_future_return,quantile_lift_top_decile,quantile_lift_top_quintile,top_decile_future_mae_mean,top_decile_future_mdd_mean,monotonic_decile_event_rate_status
1,fixed,0.1,diagnostic_only,entity_empirical_event_rate,expanding_entity_event_rate,2196,2196,0,0.0,1.0,,,0.01276841604988349,,-0.05654514894474261,0.021942413707114663,-0.05654514894474261,,,0.004343384110474241,0.0037103809788339077,insufficient_unique_scores
3,fixed,0.03,diagnostic_only,entity_empirical_event_rate,expanding_entity_event_rate,2196,2196,89,0.04052823315118397,1.0,0.5034715741535705,0.05162849680377492,0.04507931988257335,0.002372361225956581,-0.05975504622590596,0.02073076411732751,-0.1567018814610389,1.9066394279877426,1.2897854954034729,-0.0027378562062098746,0.012043104270997652,non_monotonic
3,fixed,0.05,diagnostic_only,entity_empirical_event_rate,expanding_entity_event_rate,2196,2196,9,0.004098360655737705,1.0,0.33904892546867854,0.004337293819981612,0.016291205055847646,-0.035634168273742585,-0.05975504622590596,0.02073076411732751,-0.1567018814610389,1.109090909090909,0.5545454545454545,-0.0027378562062098746,0.012043104270997652,non_monotonic
3,fixed,0.08,diagnostic_only,entity_empirical_event_rate,expanding_entity_event_rate,2196,2196,0,0.0,1.0,,,0.01276841604988349,,-0.05975504622590596,0.02073076411732751,-0.1567018814610389,,,-0.0027378562062098746,0.012043104270997652,insufficient_unique_scores
3,fixed,0.1,diagnostic_only,entity_empirical_event_rate,expanding_entity_event_rate,2196,2196,0,0.0,1.0,,,0.01276841604988349,,-0.05975504622590596,0.02073076411732751,-0.1567018814610389,,,-0.0027378562062098746,0.012043104270997652,insufficient_unique_scores
5,fixed,0.03,eligible,entity_empirical_event_rate,expanding_entity_event_rate,2196,2196,116,0.052823315118397086,1.0,0.5115260278514588,0.06847403430304533,0.054767293255057824,0.008934441850887695,-0.07365328115705132,-0.009938086463715313,-0.18136694668863246,1.9791536050156737,1.3337774294670846,-0.005999293802623499,0.018015758221607003,non_monotonic
5,fixed,0.05,eligible,entity_empirical_event_rate,expanding_entity_event_rate,2196,2196,17,0.007741347905282332,1.0,0.4259779175552736,0.008360802997513113,0.01918903582253087,-0.022482338091029005,-0.07365328115705132,-0.009938086463715313,-0.18136694668863246,1.174331550802139,0.5871657754010695,-0.005999293802623499,0.018015758221607003,non_monotonic
5,fixed,0.08,eligible,entity_empirical_event_rate,expanding_entity_event_rate,2196,2196,0,0.0,1.0,,,0.01276841604988349,,-0.07365328115705132,-0.009938086463715313,-0.18136694668863246,,,-0.005999293802623499,0.018015758221607003,insufficient_unique_scores
5,fixed,0.1,eligible,entity_empirical_event_rate,expanding_entity_event_rate,2196,2196,0,0.0,1.0,,,0.01276841604988349,,-0.07365328115705132,-0.009938086463715313,-0.18136694668863246,,,-0.005999293802623499,0.018015758221607003,insufficient_unique_scores
10,fixed,0.03,eligible,entity_empirical_event_rate,expanding_entity_event_rate,2196,2196,249,0.1133879781420765,1.0,0.4685397986398599,0.10672601441102765,0.10496803521593784,-0.034567760722260886,-0.04853991242785865,-0.1790754012253952,-0.023604188530928695,1.0021905805038336,0.8618838992332969,-0.0072725528876921245,0.02397560529830721,non_monotonic
10,fixed,0.05,eligible,entity_empirical_event_rate,expanding_entity_event_rate,2196,2196,73,0.033242258652094715,1.0,0.4435536427515986,0.028404460776158602,0.040243156261897214,-0.03506706731749636,-0.04853991242785865,-0.1790754012253952,-0.023604188530928695,0.41021170610211705,0.6153175591531757,-0.0072725528876921245,0.02397560529830721,non_monotonic
10,fixed,0.08,eligible,entity_empirical_event_rate,expanding_entity_event_rate,2196,2196,12,0.00546448087431694,1.0,0.39846611721611724,0.004709171534478063,0.01738206766526073,-0.025939107818544454,-0.04853991242785865,-0.1790754012253952,-0.023604188530928695,0.0,0.8318181818181818,-0.0072725528876921245,0.02397560529830721,non_monotonic
10,fixed,0.1,eligible,entity_empirical_event_rate,expanding_entity_event_rate,2196,2196,1,0.0004553734061930783,1.0,0.34419134396355355,0.0006811989100817438,0.013159877399067012,-0.011519561391763133,-0.04853991242785865,-0.1790754012253952,-0.023604188530928695,0.0,0.0,-0.0072725528876921245,0.02397560529830721,non_monotonic
