asof_mode,model_variant,horizon,threshold_type,threshold_value,target_usage,calibration_method,calibration_row_count,evaluation_row_count,scored_row_count,positive_event_count,negative_event_count,event_base_rate,brier_score,brier_identity_uncalibrated,brier_calibrated,brier_retention,log_loss,expected_calibration_error,max_calibration_error,reliability_slope,reliability_intercept,roc_auc,average_precision,auc_retention_vs_identity,ap_retention_vs_identity,validation_market_event_block_count,monotonic_bin_status,calibration_fit_status,skip_reason,fold_count
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,10,fixed,0.05,eligible,platt_logistic_calibration,155741,156822,156822,37516,119306,0.23922663911951128,0.18713637532047853,0.21940774985854014,0.18713637532047853,0.032271374538061594,0.5656689971069417,0.0891437189959027,0.30465568960745076,2.614989464544416,-0.4258040145992174,0.5718070632003318,0.2897833583194919,1.02156655350239,1.021040955375542,4,mixed_or_non_monotonic,aggregate,,10
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,10,fixed,0.05,eligible,isotonic_calibration,155741,156822,156822,37516,119306,0.23922663911951128,0.18704384607170277,0.21940774985854014,0.18704384607170277,0.032363903786837366,0.5833003588856097,0.08682049252342576,0.3538800016679776,0.8670228148607624,0.03291432084110327,0.5562532796537709,0.27542469015017124,0.9931719536845807,0.9696293782959111,4,mixed_or_non_monotonic,aggregate,,10
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,10,fixed,0.08,eligible,identity_uncalibrated_reference,155741,156822,156822,16698,140124,0.10647740750659984,0.18032871179795593,0.18032871179795593,0.18032871179795593,0.0,0.5409647372706221,0.265070696818129,0.6156212240439836,0.23569348512810234,0.024300197149755027,0.5832355506207517,0.14515561895352797,1.0,1.0,3,mixed_or_non_monotonic,aggregate,,10
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,10,fixed,0.08,eligible,platt_logistic_calibration,155741,156822,156822,16698,140124,0.10647740750659984,0.09934045357322652,0.18032871179795593,0.09934045357322652,0.08098825822472941,0.3712979216663503,0.07078107886788748,0.19019649975574465,1.125369698552363,0.008071614989069022,0.5807008684029149,0.1421651882090192,1.000725552405429,0.9973111012404233,3,mixed_or_non_monotonic,aggregate,,10
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,10,fixed,0.08,eligible,isotonic_calibration,155741,156822,156822,16698,140124,0.10647740750659984,0.09906624084761459,0.18032871179795593,0.09906624084761459,0.08126247095034132,0.40550143241466585,0.068003250627549,0.3175667842005802,0.6625896055906946,0.05132918225700335,0.5834012104222742,0.13649603916102102,1.0042360213087105,0.9550680708949153,3,mixed_or_non_monotonic,aggregate,,10
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,10,fixed,0.1,eligible,identity_uncalibrated_reference,155741,156822,156822,10139,146683,0.06465291859560521,0.15424345939623596,0.15424345939623596,0.15424345939623596,0.0,0.47687942670203975,0.26179527904834815,0.6645269054386373,0.12745698395678598,0.02677951035644116,0.6043930829409462,0.09804381921069773,1.0,1.0,2,mixed_or_non_monotonic,aggregate,,10
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,10,fixed,0.1,eligible,platt_logistic_calibration,155741,156822,156822,10139,146683,0.06465291859560521,0.06281588106990585,0.15424345939623596,0.06281588106990585,0.09142757832633011,0.2761172202995009,0.05385017068073015,0.1457993895864893,-0.4950444639548124,0.07187978880525543,0.5630894532958554,0.08897390962238336,0.9542095533242625,0.9313843222101961,2,mixed_or_non_monotonic,aggregate,,10
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,10,fixed,0.1,eligible,isotonic_calibration,155741,156822,156822,10139,146683,0.06465291859560521,0.06275574478655899,0.15424345939623596,0.06275574478655899,0.09148771460967699,0.3446811605194785,0.050470628844116,0.19080129956541136,0.6338092787301681,0.040537138215530955,0.6047623696090599,0.0895466895550401,1.0075293245220225,0.9495495039730473,2,mixed_or_non_monotonic,aggregate,,10
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,20,fixed,0.03,diagnostic_only,identity_uncalibrated_reference,155121,156202,156202,87159,69043,0.55798901422517,0.25673344266181186,0.25673344266181186,0.25673344266181186,0.0,0.7080214269946373,0.11038120819136346,0.2380769573537654,0.4937529349785354,0.32236030527169773,0.5264520460770817,0.5849963498354811,1.0,1.0,1,mixed_or_non_monotonic,aggregate,,10
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,20,fixed,0.03,diagnostic_only,platt_logistic_calibration,155121,156202,156202,87159,69043,0.55798901422517,0.25706157628088694,0.25673344266181186,0.25706157628088694,-0.00032813361907508,0.7089178774217326,0.1028751723591145,0.35716965818088287,0.31023965489015604,0.4119909825249713,0.5136477776363448,0.5687981519263252,0.9886007400458678,0.9716511058016783,1,mixed_or_non_monotonic,aggregate,,10
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,20,fixed,0.03,diagnostic_only,isotonic_calibration,155121,156202,156202,87159,69043,0.55798901422517,0.2555250334486635,0.25673344266181186,0.2555250334486635,0.0012084092131484148,0.7117638314055748,0.09666969621363583,0.3517576738004855,0.33686721561980926,0.416898581271401,0.5202264847850888,0.5792033899902441,0.9946175382802698,0.989043525373187,1,mixed_or_non_monotonic,aggregate,,10
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,20,fixed,0.05,eligible,identity_uncalibrated_reference,155121,156202,156202,62845,93357,0.40233159626637305,0.24489448897030236,0.24489448897030236,0.24489448897030236,0.0,0.6839294148709566,0.09924952089176123,0.2777808459643391,0.4249505774881361,0.21134566173675448,0.5302832308245768,0.43192465721695916,1.0,1.0,1,mixed_or_non_monotonic,aggregate,,10
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,20,fixed,0.05,eligible,platt_logistic_calibration,155121,156202,156202,62845,93357,0.40233159626637305,0.2520638492897994,0.24489448897030236,0.2520638492897994,-0.007169360319497026,0.7033938163522986,0.11997590116032408,0.29617014717122087,-0.22578361485709797,0.5451165327276428,0.5144742520018543,0.41593971562912985,0.9782027333792952,0.9604357459612812,1,mixed_or_non_monotonic,aggregate,,10
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,20,fixed,0.05,eligible,isotonic_calibration,155121,156202,156202,62845,93357,0.40233159626637305,0.2515118562371994,0.24489448897030236,0.2515118562371994,-0.006617367266897015,0.7224427293683385,0.11052658964078395,0.42842213345697056,-6.146061654649371,3.863167571158525,0.5224582587518269,0.42020844452995554,0.9897990949761745,0.9702727254928565,1,mixed_or_non_monotonic,aggregate,,10
