fold_id,asof_mode,model_variant,horizon,threshold_type,threshold_value,target_usage,calibration_method,cluster_type,metric_name,cluster_count,min_cluster_size,max_cluster_size,clustered_metric_mean,clustered_metric_std,bootstrap_or_cluster_se_rows,confidence_interval_low,confidence_interval_high,uncertainty_status
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.05,diagnostic_only,identity_uncalibrated_reference,trade_date,brier_loss,127,123,124,0.06417769937284062,0.0938032792468647,0.008323695044428285,0.04786325708576118,0.08049214165992007,pass
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.05,diagnostic_only,identity_uncalibrated_reference,fold_id,brier_loss,1,15710,15710,0.06417484289525255,,,,,insufficient_clusters
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.05,diagnostic_only,identity_uncalibrated_reference,slice_key,brier_loss,1,15710,15710,0.06417484289525255,,,,,insufficient_clusters
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.05,diagnostic_only,platt_logistic_calibration,entity_id,brier_loss,124,89,127,0.045994004009098276,0.022132118375681877,0.0019875229026783394,0.04209845911984873,0.04988954889834782,pass
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.05,diagnostic_only,platt_logistic_calibration,trade_date,brier_loss,127,123,124,0.0458298222741488,0.11438342595913174,0.010149887759415164,0.02593604226569508,0.06572360228260252,pass
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.05,diagnostic_only,platt_logistic_calibration,fold_id,brier_loss,1,15710,15710,0.04585505421434388,,,,,insufficient_clusters
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.05,diagnostic_only,platt_logistic_calibration,slice_key,brier_loss,1,15710,15710,0.04585505421434388,,,,,insufficient_clusters
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.05,diagnostic_only,isotonic_calibration,entity_id,brier_loss,124,89,127,0.04434760775865802,0.02470363933630601,0.0022184523020788794,0.03999944124658342,0.04869577427073263,pass
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.05,diagnostic_only,isotonic_calibration,trade_date,brier_loss,127,123,124,0.04416099781349888,0.12659589033844726,0.01123356873571497,0.02214320309149754,0.06617879253550021,pass
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.05,diagnostic_only,isotonic_calibration,fold_id,brier_loss,1,15710,15710,0.04418729410797196,,,,,insufficient_clusters
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.05,diagnostic_only,isotonic_calibration,slice_key,brier_loss,1,15710,15710,0.04418729410797196,,,,,insufficient_clusters
