slice_id,entity_id,decision_trade_date,apply_trade_date,realized_open_to_open_return,baseline_score,model_score,baseline_bucket,model_bucket,arm_no_downshift_exposure,arm_baseline_driven_exposure,arm_model_driven_exposure
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:炼化及贸易,2016-07-12,2016-07-13,0.0011624519460684546,0.01779269665937552,0.22298221614227087,low,low,1.0,1.0,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:焦炭Ⅱ,2016-07-12,2016-07-13,-0.009083330644678145,0.020527205712512996,0.25388838060384267,high,low,1.0,0.75,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:煤炭开采,2016-07-12,2016-07-13,-0.0049147232259793006,0.02035410629196507,0.23373759647188533,high,low,1.0,0.75,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:照明设备Ⅱ,2016-07-12,2016-07-13,0.010621409623920997,0.02238145967854266,0.25388838060384267,high,low,1.0,0.75,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:燃气Ⅱ,2016-07-12,2016-07-13,0.004385191103867037,0.016239192581643407,0.22298221614227087,low,low,1.0,1.0,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:物流,2016-07-12,2016-07-13,0.008001788681560207,0.02045514428142615,0.23373759647188533,high,low,1.0,0.75,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:特钢Ⅱ,2016-07-12,2016-07-13,-0.01463691534825462,0.02057215039717287,0.23373759647188533,high,low,1.0,0.75,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:环保设备Ⅱ,2016-07-12,2016-07-13,0.0026841210714945163,0.01877766530636645,0.23373759647188533,low,low,1.0,1.0,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:环境治理,2016-07-12,2016-07-13,0.010682160630516746,0.017934828044908716,0.22298221614227087,low,low,1.0,1.0,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:玻璃玻纤,2016-07-12,2016-07-13,0.004582445978154492,0.01749858322189717,0.22298221614227087,low,low,1.0,1.0,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:生物制品,2016-07-12,2016-07-13,-0.0023370111441978203,0.024228909592660892,0.23373759647188533,high,low,1.0,0.75,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:电力,2016-07-12,2016-07-13,0.0062894178664940625,0.014228866756023303,0.22298221614227087,low,low,1.0,1.0,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:电子化学品Ⅱ,2016-07-12,2016-07-13,-0.0012995852072735792,0.023647818383389183,0.3482758620689655,high,high,1.0,0.75,0.75
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:电机Ⅱ,2016-07-12,2016-07-13,0.017682674464125858,0.021939838663872734,0.23373759647188533,high,low,1.0,0.75,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:电池,2016-07-12,2016-07-13,0.00602199487815569,2.437588709367946,0.25388838060384267,extreme,low,1.0,0.5,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:电网设备,2016-07-12,2016-07-13,0.004174001127475568,0.029671653987639445,0.25388838060384267,extreme,low,1.0,0.5,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:电视广播Ⅱ,2016-07-12,2016-07-13,0.018919072556893735,0.017149598362194655,0.1686746987951807,low,low,1.0,1.0,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:白色家电,2016-07-12,2016-07-13,-0.009735460554477826,0.019484363639280678,0.22298221614227087,low,low,1.0,1.0,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:白酒Ⅱ,2016-07-12,2016-07-13,-0.021199157171541194,0.023562753328374063,0.25388838060384267,high,low,1.0,0.75,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:种植业,2016-07-12,2016-07-13,-0.004118149946941818,0.018419005880504734,0.22298221614227087,low,low,1.0,1.0,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:纺织制造,2016-07-12,2016-07-13,0.0032883089458639603,0.01786849672329179,0.22298221614227087,low,low,1.0,1.0,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:综合Ⅱ,2016-07-12,2016-07-13,0.004603961776390886,0.0181812265738051,0.22298221614227087,low,low,1.0,1.0,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:股份制银行Ⅱ,2016-07-12,2016-07-13,0.00787657291686883,0.006864330469099324,0.036036036036036036,low,low,1.0,1.0,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:能源金属,2016-07-12,2016-07-13,-0.0036400275880256183,0.023990122076934683,0.34405940594059403,high,high,1.0,0.75,0.75
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:自动化设备,2016-07-12,2016-07-13,0.006570647348432379,0.022668629462823508,0.25388838060384267,high,low,1.0,0.75,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:航天装备Ⅱ,2016-07-12,2016-07-13,-0.02291760455331826,0.02185332357193004,0.25388838060384267,high,low,1.0,0.75,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:航海装备Ⅱ,2016-07-12,2016-07-13,-0.01770109312272805,0.021570203794243018,0.25388838060384267,high,low,1.0,0.75,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:航空机场,2016-07-12,2016-07-13,-0.014685643760829148,0.018074334525975358,0.22298221614227087,low,low,1.0,1.0,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:航空装备Ⅱ,2016-07-12,2016-07-13,-0.00787539382067104,0.01965518548457326,0.25388838060384267,high,low,1.0,0.75,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:航运港口,2016-07-12,2016-07-13,-0.003898759764811799,0.01651017831769454,0.22298221614227087,low,low,1.0,1.0,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:装修建材,2016-07-12,2016-07-13,-0.0011848683706554564,0.019253705283264245,0.23373759647188533,low,low,1.0,1.0,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:装修装饰Ⅱ,2016-07-12,2016-07-13,0.008469725448423837,0.020026026450725386,0.25388838060384267,high,low,1.0,0.75,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:计算机设备,2016-07-12,2016-07-13,0.0009232688590588012,0.02155221866667868,0.25388838060384267,high,low,1.0,0.75,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:证券Ⅱ,2016-07-12,2016-07-13,-0.0042496246505414614,0.020029533919425347,0.23373759647188533,high,low,1.0,0.75,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:调味发酵品Ⅱ,2016-07-12,2016-07-13,-0.00959884784140086,0.01852851592407431,0.23373759647188533,low,low,1.0,1.0,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:贵金属,2016-07-12,2016-07-13,0.042206370794694026,0.028280418615458203,0.34405940594059403,extreme,high,1.0,0.5,0.75
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:贸易Ⅱ,2016-07-12,2016-07-13,0.001080886168670192,0.022259523321640433,0.22298221614227087,high,low,1.0,0.75,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:轨交设备Ⅱ,2016-07-12,2016-07-13,0.00010515301691316203,0.018882326213090626,0.23373759647188533,low,low,1.0,1.0,1.0
