slice_id,asof_mode,horizon,threshold_type,threshold_value,target_usage,calibration_method,baseline_name,arm,daily_return_count,entity_day_count,mean_exposure,max_drawdown,cvar_95,realized_volatility,total_return,missed_upside_cost,turnover,arm_pair,metric,delta,confidence_interval_low,confidence_interval_high,bootstrap_iterations,ci_status
close_t_minus_1:h5:fixed:0.0500:eligible:isotonic_calibration,close_t_minus_1,5,fixed,0.05,eligible,isotonic_calibration,rolling_close_to_close_vol_20,arm_baseline_driven,1268.0,157194.0,0.9125171746623084,0.2488758880520584,0.03111551390948298,0.012498940875080154,0.5071385719072325,1.04222652169714,0.008766055704832321,,,,,,,
close_t_minus_1:h5:fixed:0.0500:eligible:isotonic_calibration,close_t_minus_1,5,fixed,0.05,eligible,isotonic_calibration,rolling_close_to_close_vol_20,arm_model_driven,1268.0,157194.0,0.9050767557194753,0.2923319230065079,0.03203607264156011,0.013271788505035085,0.8706566311951878,0.8245453479592401,0.0046495642477620384,,,,,,,
close_t_minus_1:h5:fixed:0.0500:eligible:platt_logistic_calibration,close_t_minus_1,5,fixed,0.05,eligible,platt_logistic_calibration,rolling_close_to_close_vol_20,arm_no_downshift,1268.0,157194.0,1.0,0.2972699261613555,0.03514266042186705,0.01465981223999806,1.0909387724660857,,0.0,,,,,,,
close_t_minus_1:h5:fixed:0.0500:eligible:platt_logistic_calibration,close_t_minus_1,5,fixed,0.05,eligible,platt_logistic_calibration,rolling_close_to_close_vol_20,arm_baseline_driven,1268.0,157194.0,0.9125171746623084,0.2488758880520584,0.03111551390948298,0.012498940875080154,0.5071385719072325,1.04222652169714,0.008766055704832321,,,,,,,
close_t_minus_1:h5:fixed:0.0500:eligible:platt_logistic_calibration,close_t_minus_1,5,fixed,0.05,eligible,platt_logistic_calibration,rolling_close_to_close_vol_20,arm_model_driven,1268.0,157194.0,0.9124711807977193,0.2927447790835931,0.03172801902497695,0.013279028261597499,0.8985116542115306,0.7800094096530659,0.0065396860240720936,,,,,,,
close_t_minus_1:h5:fixed:0.0800:eligible:isotonic_calibration,close_t_minus_1,5,fixed,0.08,eligible,isotonic_calibration,rolling_close_to_close_vol_20,arm_no_downshift,1268.0,157194.0,1.0,0.2972699261613555,0.03514266042186705,0.01465981223999806,1.0909387724660857,,0.0,,,,,,,
close_t_minus_1:h5:fixed:0.0800:eligible:isotonic_calibration,close_t_minus_1,5,fixed,0.08,eligible,isotonic_calibration,rolling_close_to_close_vol_20,arm_baseline_driven,1268.0,157194.0,0.9125171746623084,0.2488758880520584,0.03111551390948298,0.012498940875080154,0.5071385719072325,1.04222652169714,0.008766055704832321,,,,,,,
close_t_minus_1:h5:fixed:0.0800:eligible:isotonic_calibration,close_t_minus_1,5,fixed,0.08,eligible,isotonic_calibration,rolling_close_to_close_vol_20,arm_model_driven,1268.0,157194.0,0.9073948439093885,0.2949606034119634,0.03226316900386121,0.013369902033728558,0.8680642948190236,0.7894364099432578,0.0054693488255502755,,,,,,,
close_t_minus_1:h5:fixed:0.0800:eligible:platt_logistic_calibration,close_t_minus_1,5,fixed,0.08,eligible,platt_logistic_calibration,rolling_close_to_close_vol_20,arm_no_downshift,1268.0,157194.0,1.0,0.2972699261613555,0.03514266042186705,0.01465981223999806,1.0909387724660857,,0.0,,,,,,,
close_t_minus_1:h5:fixed:0.0800:eligible:platt_logistic_calibration,close_t_minus_1,5,fixed,0.08,eligible,platt_logistic_calibration,rolling_close_to_close_vol_20,arm_baseline_driven,1268.0,157194.0,0.9125171746623084,0.2488758880520584,0.03111551390948298,0.012498940875080154,0.5071385719072325,1.04222652169714,0.008766055704832321,,,,,,,
close_t_minus_1:h5:fixed:0.0800:eligible:platt_logistic_calibration,close_t_minus_1,5,fixed,0.08,eligible,platt_logistic_calibration,rolling_close_to_close_vol_20,arm_model_driven,1268.0,157194.0,0.9124416299336242,0.29588459353304364,0.032078421573064064,0.01350285619994801,0.9382754731313887,0.6892487543321599,0.004636471912749782,,,,,,,
close_t_minus_1:h5:fixed:0.1000:eligible:isotonic_calibration,close_t_minus_1,5,fixed,0.1,eligible,isotonic_calibration,rolling_close_to_close_vol_20,arm_no_downshift,1268.0,157194.0,1.0,0.2972699261613555,0.03514266042186705,0.01465981223999806,1.0909387724660857,,0.0,,,,,,,
close_t_minus_1:h5:fixed:0.1000:eligible:isotonic_calibration,close_t_minus_1,5,fixed,0.1,eligible,isotonic_calibration,rolling_close_to_close_vol_20,arm_baseline_driven,1268.0,157194.0,0.9125171746623084,0.2488758880520584,0.03111551390948298,0.012498940875080154,0.5071385719072325,1.04222652169714,0.008766055704832321,,,,,,,
close_t_minus_1:h5:fixed:0.1000:eligible:isotonic_calibration,close_t_minus_1,5,fixed,0.1,eligible,isotonic_calibration,rolling_close_to_close_vol_20,arm_model_driven,1268.0,157194.0,0.9087397313978992,0.29477347303684864,0.03228176232476697,0.01314464141946799,0.8287687506871662,0.8186101129123149,0.0054896471196552495,,,,,,,
close_t_minus_1:h5:fixed:0.1000:eligible:platt_logistic_calibration,close_t_minus_1,5,fixed,0.1,eligible,platt_logistic_calibration,rolling_close_to_close_vol_20,arm_no_downshift,1268.0,157194.0,1.0,0.2972699261613555,0.03514266042186705,0.01465981223999806,1.0909387724660857,,0.0,,,,,,,
